GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG,SECONDS_REMAINING
0042300405,573,5,1,4,10:43 PM,4:58,White STEAL (2 STL),,Washington Bad Pass Turnover (P4.T11),,,5.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,4,1628401,Derrick White,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1,298
0042300405,575,1,6,4,10:44 PM,4:39,Tatum 4' Driving Layup (29 PTS),,,78 - 102,24,4.0,1628369,Jayson Tatum,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1,279
0042300405,576,9,1,4,10:44 PM,4:39,,,Mavericks Timeout: Regular (Reg.5 Short 0),,,3.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0,279
0042300405,577,5,2,4,10:48 PM,4:24,Horford STEAL (2 STL),,Doncic Lost Ball Turnover (P6.T12),,,5.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,4,201143,Al Horford,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1,264
0042300405,579,2,41,4,10:48 PM,4:22,MISS Brown 3' Running Layup,,,,,4.0,1627759,Jaylen Brown,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1,262
0042300405,580,4,0,4,10:48 PM,4:21,Tatum REBOUND (Off:1 Def:7),,,,,4.0,1628369,Jayson Tatum,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1,261
0042300405,581,6,2,4,10:48 PM,4:20,,,Kleber S.FOUL (P2.PN) (J.Goble),,,5.0,1628467,Maxi Kleber,1610612742.0,Dallas,Mavericks,DAL,4,1628369,Jayson Tatum,1610612738.0,Boston,Celtics,BOS,1,0,,,,,,1,260
0042300405,583,3,11,4,10:48 PM,4:20,Tatum Free Throw 1 of 2 (30 PTS),,,78 - 103,25,4.0,1628369,Jayson Tatum,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1,260
0042300405,584,3,12,4,10:48 PM,4:20,Tatum Free Throw 2 of 2 (31 PTS),,,78 - 104,26,4.0,1628369,Jayson Tatum,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1,260
0042300405,585,1,6,4,10:49 PM,4:02,,,Doncic 3' Driving Layup (28 PTS) (Kleber 1 AST),80 - 104,24,5.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,5,1628467,Maxi Kleber,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,242
0042300405,587,6,2,4,10:49 PM,3:40,,,Hardaway Jr. S.FOUL (P3.PN) (Z.Zarba),,,5.0,203501,Tim Hardaway Jr.,1610612742.0,Dallas,Mavericks,DAL,4,1627759,Jaylen Brown,1610612738.0,Boston,Celtics,BOS,1,0,,,,,,1,220
